Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hinge_b,0.00678351290342848,0.0068675823323398,0.00683589318687806,0,0,0,3.96840879043448E-09,5.57015376752821E-17,-3.42135113365659E-19,-2.39931358535603E-18,8.54838038238452E-17,-8.4520912321861E-20,1.37513314168561E-16,0,0,0,0,0,0,package://hinge_assem/meshes/hinge_b.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hinge_assem/meshes/hinge_b.STL,,hinge_b-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hinge_f,0.00681294364582006,-0.00667393012237625,-0.00697199201293916,0,0,0,2.82631947230041E-09,3.31216404642102E-17,1.47095711919682E-19,1.79529470410642E-18,1.94627974514953E-17,-7.82478462201055E-21,5.04780296263065E-17,0,0,0,0,0,0,package://hinge_assem/meshes/hinge_f.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hinge_assem/meshes/hinge_f.STL,,hinge_f-1,Origin_rev_hinge,Axis_rev_hinge,rev_hinge,revolute,0.0069395,-0.0068461,0.0066739,1.5708,0,1.566,hinge_b,0,1,0,0,0,0,1.5708,,,,,,,,
