1.85399 1.85399 0.00000 1.09380 -1.47390 1.09380 1.47390 1.78755 0.03322 1.09380 -1.40746 1.09380 1.47390 1.09380 1.09380 36.2651 -9.05229 -0.0120627 
1.09380 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 1.09380 21.1646 -10.1577 -0.0209538 
1.09380 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 21.0927 -10.6767 0 
1.80562 1.80562 0.00000 0.00000 0.00000 0.00000 0.00000 1.56737 0.11912 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 34.9177 -10.2807 0 
1.09380 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 21.3233 -9.08261 -0.0290287 
1.09380 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 1.09380 21.1646 -10.1577 0 
1.75747 1.75747 0.00000 0.00000 0.00000 0.00000 0.00000 1.75747 0.00000 1.09380 -1.42564 1.09380 1.42564 1.09380 1.09380 34.0607 -9.76162 0 
1.71755 1.71755 0.00000 0.00000 0.00000 0.00000 0.00000 1.71755 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 33.2314 -10.107 0 
1.82512 1.82512 0.00000 0.00000 0.00000 0.00000 0.00000 1.80772 0.00870 1.09380 -1.44206 1.09380 1.45946 1.09380 1.09380 35.3802 -9.73903 0 
1.79139 1.79139 0.00000 1.09380 -1.44259 1.09380 1.44259 1.79139 0.00000 1.09380 -1.44259 1.09380 1.44259 1.09380 1.09380 35.0428 -9.05169 -0.0123559 
1.09380 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 1.09380 21.3235 -9.08302 -0.0162549 
1.78062 1.78062 0.00000 1.09380 -1.43721 1.09380 1.43721 1.78062 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 34.8309 -9.05187 -0.0204021 
1.09380 1.09380 0.00000 1.09380 -1.09380 1.09380 1.09380 1.09380 0.00000 0.00000 0.00000 0.00000 0.00000 1.09380 1.09380 21.3233 -9.08261 -0.0290287 
