0.43030 0.16000 -0.53358 0.26185 0.65894 23.7188 -3.53894 -4.28172 
0.16000 0.00000 0.00000 0.00000 0.00000 7.65703 0 0 
0.41389 0.27067 -0.59924 0.41503 0.69016 25.1372 -3.67775 -4.55734 
0.32136 0.21924 -0.61794 0.16000 0.47851 20.5602 -4.02474 -3.78 
0.51109 0.18508 -0.66887 0.15396 0.57857 24.5974 -3.84412 -3.71249 
0.16000 0.00000 0.00000 0.16000 0.39903 13.2223 0 -6.39729 
0.32667 0.16000 -0.48780 0.21215 0.52318 20.9901 -3.68487 -4.16033 
0.62099 0.00000 0.00000 0.30834 0.82818 22.6809 0 -6.54886 
0.16000 0.25470 -0.48635 0.26385 0.47204 16.3425 -4.01634 -4.17964 
0.29701 0.33270 -0.62757 0.48954 0.65258 21.851 -3.73368 -4.68235 
0.36723 0.00000 0.00000 0.16000 0.84582 15.4035 0 -5.58399 
0.16000 0.00000 0.00000 0.00000 0.00000 7.65703 0 0 
0.50839 0.32920 -0.68787 0.32553 0.70535 27.4329 -4.10731 -4.02271 
1.02655 0.27772 -0.89018 0.22091 0.86123 36.2421 -4.03442 -3.5479 
0.53943 0.00000 0.00000 0.00000 0.00000 10.5958 0 0 
0.84881 0.21463 -0.78774 0.14991 0.75994 31.0335 -4.01801 -3.36439 
0.16000 0.22333 -0.43273 0.28824 0.55057 16.2518 -4.01294 -4.15647 
0.14594 0.00000 0.00000 0.00000 0.00000 7.51478 0 0 
0.24766 0.23253 -0.48150 0.16634 0.48839 18.8423 -4.37199 -3.57691 
0.87757 0.16414 -0.76153 0.00000 0.00000 23.5217 -5.66239 0 
0.17397 0.33739 -0.49389 0.21542 0.49264 17.0126 -4.74177 -3.50253 
0.43971 0.16000 -0.63975 0.29097 0.94754 21.5554 -4.03464 -3.41054 
0.16851 0.18481 -0.44300 0.14473 0.42022 15.9913 -4.13645 -3.73947 
0.45527 0.27833 -0.61112 0.49220 0.71891 26.929 -3.56011 -4.76357 
0.99555 0.20374 -0.85874 0.16226 0.81872 33.2927 -3.82823 -3.46077 
0.21775 0.16000 -0.43732 0.40583 0.58072 18.6059 -3.22846 -5.00803 
0.30862 0.21386 -0.78192 0.42860 0.74965 20.1125 -3.18692 -4.78992 
0.92515 0.49220 -0.98784 0.31587 1.20271 33.9841 -5.27152 -2.50199 
0.66712 0.23827 -0.69326 0.27001 0.73817 29.953 -3.81699 -4.01221 
0.19774 0.32917 -0.53582 0.27954 0.61178 17.651 -4.48154 -3.7367 
0.16000 0.00000 0.00000 0.36831 0.51267 14.612 0 -7.27705 
0.30799 0.00000 0.00000 0.16000 0.47884 16.2071 0 -6.2076 
0.77038 0.00000 0.00000 0.00000 0.00000 12.0253 0 0 
0.38460 0.20987 -0.55664 0.37315 0.61817 23.9564 -3.40351 -4.75272 
0.16000 0.29444 -0.60205 0.00000 0.00000 13.627 -6.83557 0 
0.19659 0.47671 -0.86016 0.37503 0.52780 17.4407 -3.05827 -5.19252 
0.16000 0.00000 0.00000 0.00000 0.00000 7.65703 0 0 
0.42786 0.00000 0.00000 0.00000 0.00000 9.84443 0 0 
0.27549 0.28633 -0.58775 0.23658 0.49355 20.2519 -4.134 -3.99156 
0.24229 0.24248 -0.47993 0.42151 0.66575 19.4512 -3.83499 -4.43847 
0.16000 0.00000 0.00000 0.00000 0.00000 7.65703 0 0 
0.16000 0.12966 -0.58608 0.00000 0.00000 12.2316 -5.89281 0 
1.09099 0.16000 -0.91015 0.19077 0.87840 34.1189 -3.38407 -3.78526 
1.04781 0.22732 -0.88403 0.22992 0.92019 35.5065 -3.7517 -3.70437 
0.12902 0.00000 0.00000 0.00000 0.00000 7.32807 0 0 
1.12750 0.00000 0.00000 0.16000 0.89725 25.553 0 -5.39661 
0.22345 0.14457 -0.43736 0.30726 0.54677 18.2806 -3.36014 -4.69114 
0.38689 0.25829 -0.60395 0.00000 0.00000 18.7141 -6.61949 0 
0.16000 0.16000 -0.56385 0.19505 0.57517 15.021 -3.67344 -4.04293 
0.26786 0.00000 0.00000 0.00000 0.00000 8.63558 0 0 
0.16000 0.00000 0.00000 0.17659 0.41388 13.3263 0 -6.47399 
0.16000 0.17236 -0.44221 0.00000 0.00000 13.1187 -6.38686 0 
0.33679 0.22974 -0.62014 0.00000 0.00000 17.1808 -6.46635 0 
0.28305 0.00000 0.00000 0.00000 0.00000 8.75722 0 0 
0.38425 0.00000 0.00000 0.00000 0.00000 9.53137 0 0 
1.12750 0.20423 -0.93747 0.16000 1.04302 34.169 -3.86381 -3.26063 
0.41707 0.16771 -0.67294 0.16000 0.53091 22.3327 -3.66599 -3.92049 
0.39189 0.26930 -0.56895 0.25366 0.67081 23.4433 -4.23228 -3.77677 
0.19040 0.16000 -0.41778 0.30240 0.49509 17.4653 -3.47499 -4.67175 
0.16000 0.22907 -0.45973 0.24432 0.45226 16.3083 -3.97344 -4.18112 
0.28397 0.21006 -0.67128 0.35572 0.63879 19.9903 -3.32651 -4.72507 
0.39132 0.31678 -0.60131 0.16000 0.53770 23.3837 -4.70393 -3.27132 
0.16000 0.00000 0.00000 0.16000 0.39866 13.2245 0 -6.39671 
0.19971 0.18974 -0.49789 0.18893 0.53202 16.7833 -3.97812 -3.86341 
0.24809 0.16000 -0.50980 0.00000 0.00000 14.7513 -6.17065 0 
0.16000 0.17703 -0.40899 0.19671 0.41592 16.1483 -3.91595 -4.12103 
0.24034 0.17104 -0.44627 0.17497 0.51075 18.2405 -4.01947 -3.81397 
